notes,alga,timing,herbaceous,parasite,cellularity,organelles,species,mt,pt,mtnorm,ptnorm,clade
australian shrub,no,perennial,no,no,multi,,acacia ligulata,37,73,5.707482993,0.673469388,Viridiplantae
chilean red macroalga,yes,NA,NA,no,multi,,agarophyton chilense,24,158,0.833333333,-5.033333333,Rhodophyta
european weed,no,perennial,yes,no,multi,,ajuga reptans,29,76,-2.292517007,3.673469388,Viridiplantae
onion,no,perennial,yes,no,multi,,allium cepa,26,73,-5.292517007,0.673469388,Viridiplantae
asian shrub,no,perennial,no,no,multi,,ammopiptanthus mongolicus,33,73,1.707482993,0.673469388,Viridiplantae
hornwort,no,annual,yes,no,multi,,anthoceros angustus,20,81,-11.29251701,8.673469388,Viridiplantae
cress,no,annual,yes,no,multi,,arabidopsis thaliana,31,75,-0.292517007,2.673469388,Viridiplantae
mountain cress,no,perennial,yes,no,multi,,arabis alpina,31,73,-0.292517007,0.673469388,Viridiplantae
american weed,no,perennial,yes,no,multi,,asclepias syriaca,36,74,4.707482993,1.673469388,Viridiplantae
lake/river diatom,yes,NA,NA,no,uni,,asterionella formosa,33,117,0.727272727,6.181818182,Bacillariophyta
apicomplexan,no,NA,NA,yes,uni,,babesia microti strain ri,3,20,0,-0.5,Apicomplexa
scani rhodophyte,yes,NA,NA,epiphyte,multi,,balbiania investiens,24,168,0.833333333,4.966666667,Rhodophyta
brassica,no,annual,yes,no,multi,,brassica juncea,33,75,1.707482993,2.673469388,Viridiplantae
brassica,no,annual,yes,no,multi,,brassica napus,32,75,0.707482993,2.673469388,Viridiplantae
brassica,no,annual,yes,no,multi,,brassica nigra,32,75,0.707482993,2.673469388,Viridiplantae
brassica,no,biennial,yes,no,multi,,brassica oleracea,33,75,1.707482993,2.673469388,Viridiplantae
intertidal red algae,yes,NA,NA,no,multi,,calliarthron tuberculosum,24,169,0.833333333,5.966666667,Rhodophyta
tea,no,perennial,no,no,multi,,camellia sinensis,28,76,-3.292517007,3.673469388,Viridiplantae
cannabis,no,annual,yes,no,multi,,cannabis sativa,35,75,3.707482993,2.673469388,Viridiplantae
like cress,no,biennial,yes,no,multi,,capsella rubella,31,75,-0.292517007,2.673469388,Viridiplantae
chili pepper,no,perennial,no,no,multi,,capsicum annuum,37,75,5.707482993,2.673469388,Viridiplantae
papaya,no,perennial,no,no,multi,,carica papaya,38,75,6.707482993,2.673469388,Viridiplantae
colombian herb,no,perennial,yes,no,multi,,castilleja paramensis,34,72,2.707482993,-0.326530612,Viridiplantae
green alga,yes,NA,NA,no,multi,,caulerpa lentillifera,17,72,-14.29251701,-0.326530612,Viridiplantae
green alga,yes,NA,NA,no,multi,,chara vulgaris,38,86,6.707482993,13.67346939,Viridiplantae
quinoa,no,annual,yes,no,multi,,chenopodium quinoa,30,75,-1.292517007,2.673469388,Viridiplantae
unicell green alga,yes,NA,NA,no,uni,,chlamydomonas leiostraca,7,63,-24.29251701,-9.326530612,Viridiplantae
unicell green alga,yes,NA,NA,no,uni,,chlamydomonas reinhardtii,8,59,-23.29251701,-13.32653061,Viridiplantae
unicell green alga,yes,NA,NA,no,uni,,chlorella variabilis,31,73,-0.292517007,0.673469388,Viridiplantae
green alga colonial 2-8 cells,yes,NA,NA,no,colonial,,chlorokybus atmophyticus,38,90,6.707482993,17.67346939,Viridiplantae
green alga,yes,NA,NA,no,uni,"1 CP, 1 MT",chloroparvula japonica,35,64,3.707482993,-8.326530612,Viridiplantae
green alga,yes,NA,NA,no,uni,"1 CP, 1 MT",chloroparvula pacifica,35,64,3.707482993,-8.326530612,Viridiplantae
green alga,yes,NA,NA,no,uni,"1 CP, 1 MT",chloropicon laureae,34,66,2.707482993,-6.326530612,Viridiplantae
green alga,yes,NA,NA,no,uni,"1 CP, 1 MT",chloropicon mariensis,34,66,2.707482993,-6.326530612,Viridiplantae
green alga,yes,NA,NA,no,uni,"1 CP, 1 MT",chloropicon maureeniae,34,66,2.707482993,-6.326530612,Viridiplantae
green alga,yes,NA,NA,no,uni,"1 CP, 1 MT",chloropicon roscoffensis,34,66,2.707482993,-6.326530612,Viridiplantae
green alga,yes,NA,NA,no,uni,"1 CP, 1 MT",chloropicon sieburthii,34,66,2.707482993,-6.326530612,Viridiplantae
green alga,yes,NA,NA,no,?uni,,chlorosarcinopsis eremi,7,64,-24.29251701,-8.326530612,Viridiplantae
chrysanthemum,no,perennial,yes,no,multi,,chrysanthemum boreale,32,74,0.707482993,1.673469388,Viridiplantae
?green alga,yes,NA,NA,no,uni,,chrysochromulina parva,20,96,0,0,Haptista
watermelon,no,annual,yes,no,multi,,citrullus lanatus,37,75,5.707482993,2.673469388,Viridiplantae
orange,no,perennial,no,no,multi,,citrus sinensis,32,75,0.707482993,2.673469388,Viridiplantae
desmid alga,yes,NA,NA,no,uni,,closterium baillyanum,38,84,6.707482993,11.67346939,Viridiplantae
brown alga,yes,NA,NA,no,multi,,coccophora langsdorfii,34,121,0,4.222222222,Phaeophyceae
coconut,no,perennial,no,no,multi,,cocos nucifera,41,76,9.707482993,3.673469388,Viridiplantae
green alga,yes,NA,NA,no,basic multi,,coleochaete scutata,36,79,4.707482993,6.673469388,Viridiplantae
littoral red alga,yes,NA,NA,no,multi,,corallina chilensis,24,168,0.833333333,4.966666667,Rhodophyta
littoral red alga,yes,NA,NA,no,multi,,corallina ferreyrae,23,168,-0.166666667,4.966666667,Rhodophyta
like jute,no,both,yes,no,multi,,corchorus capsularis,37,75,5.707482993,2.673469388,Viridiplantae
jute,no,both,yes,no,multi,,corchorus olitorius,35,75,3.707482993,2.673469388,Viridiplantae
brown kelp,yes,NA,NA,no,multi,,costaria costata,34,119,0,2.222222222,Phaeophyceae
red algae,yes,NA,NA,no,multi,,crassa caudata,24,162,0.833333333,-1.033333333,Rhodophyta
cucumber,no,annual,yes,no,multi,,cucumis sativus,37,75,5.707482993,2.673469388,Viridiplantae
pumpkin,no,annual,yes,no,multi,,cucurbita pepo,37,75,5.707482993,2.673469388,Viridiplantae
apicomplexan,no,NA,NA,yes,uni,,cyclospora cayetanensis,3,21,0,0.5,Apicomplexa
diatom,yes,NA,NA,no,uni,2 CP,cylindrotheca closterium,34,115,1.727272727,4.181818182,Bacillariophyta
green alga,yes,NA,NA,no,?uni,,cymbomonas tetramitiformis,30,72,-1.292517007,-0.326530612,Viridiplantae
climbing woody vine,no,perennial,no,no,multi,,cynanchum auriculatum,24,76,-7.292517007,3.673469388,Viridiplantae
red alga,yes,NA,NA,no,multi,,dasya binghamiae,22,157,-1.166666667,-6.033333333,Rhodophyta
Yellow-brown alga,yes,NA,NA,no,multi,,dictyopteris divaricata,34,118,0,1.222222222,Phaeophyceae
diatom “rock snot”,yes,NA,NA,no,uni,,didymosphenia geminata,33,116,0.727272727,5.181818182,Bacillariophyta
american flower,no,perennial,yes,no,multi,,diplostephium hartwegii,35,76,3.707482993,3.673469388,Viridiplantae
flower,no,perennial,yes,no,multi,,dorcoceras hygrometricum,30,72,-1.292517007,-0.326530612,Viridiplantae
